actual,predicted,count
CWE-20,CWE-119,251
CWE-125,CWE-119,145
CWE-388,CWE-119,109
CWE-264,CWE-119,87
CWE-772,CWE-119,73
CWE-200,CWE-119,68
CWE-415,CWE-119,63
CWE-190,CWE-119,52
CWE-416,CWE-119,49
CWE-358,CWE-119,46
CWE-189,CWE-119,42
CWE-254,CWE-119,29
CWE-295,CWE-119,19
CWE-354,CWE-119,18
CWE-134,CWE-119,17
CWE-19,CWE-119,15
CWE-281,CWE-119,15
CWE-269,CWE-119,13
CWE-79,CWE-119,12
CWE-22,CWE-119,10
