actual,predicted,count
CWE-119,CWE-388,73
CWE-119,CWE-200,71
CWE-264,CWE-388,52
CWE-119,CWE-20,45
CWE-20,CWE-388,37
CWE-125,CWE-119,34
CWE-20,CWE-416,29
CWE-20,CWE-200,26
CWE-125,CWE-404,26
CWE-119,CWE-416,23
CWE-772,CWE-119,22
CWE-119,CWE-415,20
CWE-20,CWE-119,19
CWE-119,CWE-189,19
CWE-119,CWE-190,18
CWE-358,CWE-20,18
CWE-772,CWE-388,18
CWE-189,CWE-119,17
CWE-358,CWE-388,17
CWE-388,CWE-20,16
