actual,predicted,count
CWE-19,CWE-114,74
CWE-114,CWE-352,63
CWE-114,CWE-244,52
CWE-114,CWE-124,46
CWE-124,CWE-114,44
CWE-19,CWE-244,35
CWE-114,CWE-19,35
CWE-244,CWE-352,28
CWE-124,CWE-362,26
CWE-19,CWE-352,25
CWE-114,CWE-195,22
CWE-352,CWE-114,22
CWE-176,CWE-114,20
CWE-364,CWE-114,20
CWE-188,CWE-397,19
CWE-195,CWE-114,19
CWE-320,CWE-244,19
CWE-563,CWE-114,19
CWE-352,CWE-244,18
CWE-397,CWE-114,16
