actual,predicted,count
CWE-18,CWE-347,81
CWE-94,CWE-18,74
CWE-18,CWE-94,61
CWE-123,CWE-94,53
CWE-94,CWE-347,50
CWE-242,CWE-347,40
CWE-194,CWE-94,31
CWE-563,CWE-94,28
CWE-94,CWE-123,27
CWE-172,CWE-94,26
CWE-176,CWE-362,26
CWE-347,CWE-94,25
CWE-319,CWE-347,24
CWE-347,CWE-18,22
CWE-396,CWE-94,22
CWE-194,CWE-18,21
CWE-362,CWE-94,20
CWE-123,CWE-361,19
CWE-94,CWE-172,18
CWE-242,CWE-18,18
