actual,predicted,count
CWE-114,CWE-176,8
CWE-194,CWE-176,6
CWE-121,CWE-176,4
CWE-123,CWE-176,4
CWE-126,CWE-176,4
CWE-366,CWE-176,4
CWE-191,CWE-176,3
CWE-511,CWE-176,3
CWE-319,CWE-176,2
CWE-483,CWE-176,2
