actual,predicted,count
CWE-94,CWE-18,153
CWE-123,CWE-94,75
CWE-347,CWE-18,75
CWE-18,CWE-94,59
CWE-242,CWE-18,59
CWE-362,CWE-18,38
CWE-194,CWE-18,37
CWE-319,CWE-18,37
CWE-562,CWE-94,37
CWE-562,CWE-18,32
CWE-123,CWE-18,31
CWE-194,CWE-94,29
CWE-172,CWE-94,27
CWE-347,CWE-94,26
CWE-176,CWE-18,22
CWE-176,CWE-94,19
CWE-396,CWE-94,19
CWE-311,CWE-18,17
CWE-362,CWE-94,17
CWE-396,CWE-18,17
