actual,predicted,count
CWE-114,CWE-126,8
CWE-194,CWE-126,6
CWE-366,CWE-126,6
CWE-90,CWE-127,5
CWE-121,CWE-126,4
CWE-123,CWE-126,4
CWE-478,CWE-476,4
CWE-190,CWE-126,3
CWE-191,CWE-126,3
CWE-511,CWE-126,3
CWE-23,CWE-127,2
CWE-127,CWE-252,2
CWE-319,CWE-126,2
CWE-366,CWE-188,2
CWE-483,CWE-126,2
CWE-571,CWE-124,2
CWE-90,CWE-252,1
CWE-468,CWE-400,1
CWE-469,CWE-197,1
CWE-506,CWE-570,1
