actual,predicted,count
CWE-404,CWE-284,47
CWE-284,CWE-416,29
CWE-476,CWE-416,18
CWE-190,CWE-476,17
CWE-415,CWE-190,16
CWE-134,CWE-416,10
CWE-284,CWE-190,10
CWE-284,CWE-476,10
CWE-190,CWE-416,9
CWE-284,CWE-404,8
CWE-284,CWE-835,8
CWE-400,CWE-284,8
CWE-476,CWE-190,8
CWE-415,CWE-476,6
CWE-404,CWE-476,5
CWE-415,CWE-416,5
CWE-284,CWE-78,4
CWE-284,CWE-400,4
CWE-369,CWE-190,4
CWE-404,CWE-416,4
