actual,predicted,count
CWE-114,CWE-121,8
CWE-194,CWE-121,7
CWE-23,CWE-114,6
CWE-23,CWE-127,6
CWE-90,CWE-127,6
CWE-123,CWE-121,4
CWE-126,CWE-121,4
CWE-476,CWE-478,4
CWE-190,CWE-127,3
CWE-191,CWE-121,3
CWE-511,CWE-121,3
CWE-319,CWE-127,2
CWE-468,CWE-226,1
CWE-469,CWE-114,1
CWE-506,CWE-121,1
